recorte;cnpj;orgao_razao_social;unidade_codigo;unidade_nome;municipio_nome;esfera_classificada;n_contratacoes;n_itens;valor_total_estimado;valor_homologado_elegivel
AP_ESTADUAL_MUNICIPAL;11762249000150;SECRETARIA DE ESTADO DA CIENCIA E TECNOLOGIA;29;SECRETARIA DE ESTADO DA CIÊNCIA E TECNOLOGIA ;Macapá;estadual;1;1;248.04;153.06
AP_ESTADUAL_MUNICIPAL;34868927000160;ASSEMBLEIA LEGISLATIVA DO ESTADO DO AMAPA;926714;ASSEMBLÉIA LEGISLATIVA DO ESTADO AO AMAPÁ;Macapá;estadual;1;2;837.95;90.0
AP_ESTADUAL_MUNICIPAL;01762561000190;INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPA;35;INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPÁ ;Macapá;estadual;1;1;708.07;0.0
AP_ESTADUAL_MUNICIPAL;15025396000107;FUNDO MUNICIPAL DE EDUCACAO DE LARANJAL DO JARI;929426;FUNDO MUNIC.EDUCAÇÃO DE LARANJAL DO JARI - AP;Laranjal do Jari;municipal;1;1;24400.0;0.0
AP_ESTADUAL_MUNICIPAL;05989116000119;MUNICIPIO DE AMAPA;2137;Prefeitura Municipal de Amapá;Amapá;municipal;2;4;0.0;0.0
AP_ESTADUAL_MUNICIPAL;11707402000147;FUNDO MUNICIPAL DE SAUDE DE LARANJAL DO JARI;000000001;FUNDO MUNICIPAL DE SAUDE DE LARANJAL DO JARI;Laranjal do Jari;municipal;1;1;2972.25;0.0
AP_ESTADUAL_MUNICIPAL;11762144000100;DEFENSORIA PUBLICA DO ESTADO;927560;EAP-DEFENSORIA PÚBLICA DO ESTADO DO AMAPÁ;Macapá;estadual;1;2;8846.0;0.0
AP_ESTADUAL_MUNICIPAL;05995766000177;MUNICIPIO DE MACAPA;980605;PMAP - PREFEITURA MUNICIPAL DE MACAPÁ;Macapá;municipal;1;4;9415.47;0.0
AP_ESTADUAL_MUNICIPAL;34925131000100;MUNICIPIO DE PEDRA BRANCA DO AMAPARI;8066;FUNDO MUNICIPAL DE SAUDE;Pedra Branca do Amapari;municipal;1;2;51720.0;0.0
AP_ESTADUAL_MUNICIPAL;34925198000136;MUNICIPIO DE CUTIAS;3294;MUNICÍPIO DE CUTIAS/AP;Cutias;municipal;1;5;109291.68;0.0
AP_ESTADUAL_MUNICIPAL;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;estadual;1;1;85054.45;0.0
AP_TODAS_ESFERAS;23066814000124;MUNICIPIO DE FERREIRA GOMES;01;Prefeitura Municipal de Ferreira Gomes;Ferreira Gomes;municipal;3;14;303141.62;240746.8
AP_TODAS_ESFERAS;34925222000137;MUNICIPIO DE PRACUUBA;000000001;SECRETARIA MUNICIPAL DE ADMINISTRACAO;Pracuúba;municipal;3;9;267474.0;180460.0
AP_TODAS_ESFERAS;23066905000160;MUNICIPIO DE LARANJAL DO JARI;2210;MUNICIPIO DE LARANJAL DO JARI/AP;Laranjal do Jari;municipal;3;8;254866.9225;172039.0
AP_TODAS_ESFERAS;11762155000181;SECRETARIA DE ESTADO DA CULTURA;40;SECRETARIA DE ESTADO DA CULTURA ;Macapá;estadual;1;1;49946.0;44200.0
AP_TODAS_ESFERAS;23066640000108;MUNICIPIO DE SANTANA;980615;PREFEITURA MUNICIPAL DE SANTANA - AP;Santana;municipal;3;15;120524.86;40659.3
AP_TODAS_ESFERAS;10820882000195;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA;158150;INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA;Macapá;federal;5;24;52429.5;38124.020000000004
AP_TODAS_ESFERAS;08186277000162;UNIVERSIDADE DO ESTADO DO AMAPA;3587;UNIVERSIDADE ESTADUAL DO AMAPÁ;Macapá;estadual;1;1;41184.0;30888.0
AP_TODAS_ESFERAS;34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;estadual;2;8;55568.7;23086.6
AP_TODAS_ESFERAS;00394452000103;COMANDO DO EXERCITO;160026;COMANDO DA 22ª BRIGADA DE INFANTARIA DE SELVA;Macapá;federal;6;17;165735.75;21056.75
AP_TODAS_ESFERAS;34925214000190;MUNICIPIO DE ITAUBAL;000000001;PREFEITURA;Itaubal;municipal;1;1;22599.0;20919.0
