recorte;n_fornecedores_distintos;valor_total_base;cr4_pct;hhi;observacao
AP_ESTADUAL_MUNICIPAL;33;862423.3999999999;72.31401652598943;1619.330924353116;itens ACEITOS (pos-reclassificacao v2), resultados elegiveis (nao cancelados, nao reserva)
AP_TODAS_ESFERAS;63;965682.09;64.58160573320771;1299.3192955977072;itens ACEITOS (pos-reclassificacao v2), resultados elegiveis (nao cancelados, nao reserva)
