produto_id;unidade_normalizada;fator_conversao;especificacao_chave;tipo_preco;minimo;media;mediana;maximo;n_observacoes;n_contratacoes;aviso
P06;Caixa 50 UN;;generico;estimado;0.0;38.991333333333344;36.17;64.97;15;7;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;Caixa 50,00 UN;;generico;estimado;29.651;48.42728181818182;40.0;123.83;11;6;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;Cx 50 Un.;;generico;estimado;0.0;35.01777777777778;37.63;57.51;9;6;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;Cx 50 Unds;;generico;estimado;29.02;29.26666666666667;29.18;29.6;3;1;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P06;unidade;1.0;generico;estimado;0.45;733.8790529411765;1.0733;12441.0;17;11;
P06;unidade;50.0;generico;estimado;0.0;0.0;0.0;0.0;2;2;
P07;unidade;1.0;generico;estimado;0.68;0.68;0.68;0.68;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P08;Caixa 24,00 UN;;generico;estimado;30.05;30.05;30.05;30.05;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P08;NAO_INFORMADA;;generico;estimado;0.0;0.0;0.0;0.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P08;UNID.;;generico;estimado;1.425;1.5175;1.5175;1.61;2;2;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
P08;unidade;1.0;generico;estimado;0.0;2.444676923076923;1.31;7.2;13;13;
P08;unidade;24.0;generico;estimado;163.56;163.56;163.56;163.56;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P10;Caixa 6,00 UN;;generico;estimado;6.62;6.62;6.62;6.62;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P15;folha;1.0;generico;estimado;0.94;0.94;0.94;0.94;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
