cnpj;orgao_razao_social;unidade_codigo;unidade_nome;municipio_nome;esfera_classificada;n_contratacoes;n_itens;valor_total_estimado;valor_homologado_elegivel
34868257000181;FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA;154215;FUNDACAO UNIVERSIDADE FEDERAL/AP;Macapá;federal;1;1;1925.4;1920.9
11762179000130;SECRETARIA DE ESTADO DA INFRA-ESTRUTURA;462116;EAP-SECRETARIA DE ESTADO DA INFRAESTRUTURA;Macapá;estadual;1;3;2541.9;1791.95
34865584000180;CONSELHO REGIONAL DE ODONTOLOGIA DO AMAPA;931778;CONSELHO REGIONAL DE ODONTOL. ESTADO DO AMAPá;Macapá;federal;2;3;1850.0;1790.0
15126437000143;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;156956;HOSPITAL UNIV DA UNIVERSIDADE FEDERAL AMAPA;Macapá;federal;2;5;3271.7000000000003;1673.8
03592977000133;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;930222;SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL-AP;Macapá;indefinida;1;5;2250.0;1620.0
30144641000180;FUNDO MUNICIPAL DE EDUCACAO - FME;1398;FUNDO MUNICIPAL DE EDUCAÇÃO DE VITÓRIA DO JARI/AP;Vitória do Jari;municipal;1;1;1506.6;1494.0
00394502001205;COMANDO DA MARINHA;784312;CAPITANIA DOS PORTOS DO AMAPÁ;Santana;federal;1;1;1480.26;1480.0
32665025000109;INSTITUTO MUNICIPAL DE TRANSITO E TRANSPORTE - IMTRANS;3014;INSTITUTO MUNICIPAL DE TRANSITO E TRANSPORTE - IMTRANS - AP;Oiapoque;municipal;1;1;1400.0;1300.0
04892707002588;DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES;390071;SUPERINTENDÊNCIA REGIONAL DO DNIT - AP;Macapá;federal;1;3;1053.2;948.0
22918796000107;AGENCIA DE DESENVOLVIMENTO ECONOMICO DO AMAPA;62;AGÊNCIA DE DESENVOLVIMENTO ECONÔMICO DO AMAPÁ;Macapá;estadual;2;4;1839.8000000000002;670.0
00394577000559;ESTADO DO AMAPA;19;SECRETARIA EXTRAORDINÁRIA DE POLÍTICA PARA AS MULHERES;Macapá;estadual;1;1;630.0;630.0
01762561000190;INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPA;35;INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPÁ ;Macapá;estadual;2;2;1368.0700000000002;619.8
01249331000122;SECRETARIA DE ESTADO DO MEIO AMBIENTE;80;SECRETARIA DE ESTADO DO MEIO AMBIENTE;Macapá;estadual;1;1;750.0;570.0
84408731000160;CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO AMAPA;389420;CONSELHO REG.DE ENG. E AGRON. DO AMAPA;Macapá;federal;1;3;613.26;540.0
11762196000178;SECRETARIA DE ESTADO DO DESPORTO E DO LAZER;84;SECRETARIA DE ESTADO DO DESPORTO E  DO LAZER;Macapá;estadual;4;10;43716.0;471.2
23612685000122;MINISTERIO DO TRABALHO;400086;SUPERINTENDÊNCIA REG. DO TRABALHO E EMPREGO;Macapá;federal;1;3;432.66;409.0
04199826000182;CONSELHO REGIONAL DE MEDICINA DO ESTADO DO AMAPA;926464;CONSELHO REGIONAL DE MEDICINA DO AMAPA;Macapá;federal;1;1;570.18;338.0
00394502002864;COMANDO DA MARINHA;784312;CAPITANIA DOS PORTOS DO AMAPÁ;Santana;federal;1;1;335.6;328.8
21744847000150;BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXERCITO;160026;COMANDO DA 22ª BRIGADA DE INFANTARIA DE SELVA;Macapá;federal;1;2;595.89;259.32
00593411000138;CONSELHO REGIONAL DE ENFERMAGEM DO AMAPA;389346;CONSELHO REGIONAL DE ENFERMAGEM DO AMAPA;Macapá;federal;1;2;212.29;212.19
11762249000150;SECRETARIA DE ESTADO DA CIENCIA E TECNOLOGIA;29;SECRETARIA DE ESTADO DA CIÊNCIA E TECNOLOGIA ;Macapá;estadual;1;1;248.04;153.06
34868927000160;ASSEMBLEIA LEGISLATIVA DO ESTADO DO AMAPA;926714;ASSEMBLÉIA LEGISLATIVA DO ESTADO AO AMAPÁ;Macapá;estadual;1;1;236.85;90.0
26461699000180;COMPANHIA NACIONAL DE ABASTECIMENTO;135596;CONAB SEDE SUREG AMAPA;Macapá;federal;1;1;22.56;22.4
11707402000147;FUNDO MUNICIPAL DE SAUDE DE LARANJAL DO JARI;000000001;FUNDO MUNICIPAL DE SAUDE DE LARANJAL DO JARI;Laranjal do Jari;municipal;1;1;2972.25;0.0
05989116000119;MUNICIPIO DE AMAPA;2137;Prefeitura Municipal de Amapá;Amapá;municipal;2;2;0.0;0.0
11762144000100;DEFENSORIA PUBLICA DO ESTADO;927560;EAP-DEFENSORIA PÚBLICA DO ESTADO DO AMAPÁ;Macapá;estadual;1;2;8846.0;0.0
15025396000107;FUNDO MUNICIPAL DE EDUCACAO DE LARANJAL DO JARI;929426;FUNDO MUNIC.EDUCAÇÃO DE LARANJAL DO JARI - AP;Laranjal do Jari;municipal;1;1;24400.0;0.0
34925131000100;MUNICIPIO DE PEDRA BRANCA DO AMAPARI;8066;FUNDO MUNICIPAL DE SAUDE;Pedra Branca do Amapari;municipal;1;1;12465.6;0.0
34925198000136;MUNICIPIO DE CUTIAS;3294;MUNICÍPIO DE CUTIAS/AP;Cutias;municipal;1;4;105590.2;0.0
34925206000144;MUNICIPIO DE PORTO GRANDE;6098;Prefeitura Municipal de Porto Grande;Porto Grande;municipal;1;1;320000.0;0.0
