produto_id;unidade_normalizada;tipo_preco;minimo;media;mediana;maximo;n_observacoes;n_contratacoes;aviso
P15;Caixa 1000 UN;estimado;1560.0;1560.0;1560.0;1560.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P15;folha;estimado;0.94;0.94;0.94;0.94;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P15;unidade;estimado;0.9;1.8275000000000001;2.25;2.25;8;3;
P16;unidade;estimado;590030.33;590030.33;590030.33;590030.33;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P19;UNID.;estimado;8.5933;9.159433333333332;8.9775;9.9075;3;3;
P19;unidade;estimado;4.28;49.86444444444444;14.67;259.7;9;9;
P21;unidade;estimado;83.7;83.7;83.7;83.7;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E01;unidade;homologado;172.0;191.1;200.0;201.3;3;3;
E02;unidade;homologado;60.0;124.92;100.0;214.76;3;3;
E03;1 Un.;homologado;90.0;90.0;90.0;90.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E03;unidade;homologado;52.0;183.0525;124.535;500.66;12;7;
E04;unidade;homologado;49.5;182.51444444444442;137.72;382.0;9;8;
E05;unidade;homologado;60.0;117.928;120.13;147.41;5;3;
E06;par;homologado;417.0;417.0;417.0;417.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E07;jogo;homologado;74.05;74.05;74.05;74.05;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E07;unidade;homologado;263.0;263.0;263.0;263.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E09;Ind 1 un;homologado;20.0;20.0;20.0;20.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E10;Ind 1 un;homologado;18.0;58.945;58.945;99.89;2;2;
E10;Kit 10 Un;homologado;5.89;5.89;5.89;5.89;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E10;unidade;homologado;10.76;94.88;94.88;179.0;2;2;
E12;Ind 1 un;homologado;6.78;6.78;6.78;6.78;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E12;UNID;homologado;65.0;65.0;65.0;65.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E12;unidade;homologado;12.0;31.283000000000005;28.0;77.0;10;8;
E13;unidade;homologado;40.54;126.985;69.3;328.8;4;4;
E14;unidade;homologado;47.2;56.1;56.1;65.0;2;2;
E15;Ind - 1 - unidade;homologado;243.0;243.0;243.0;243.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E15;unidade;homologado;34.0;84.00666666666667;78.56;139.46;3;3;
E16;Ind 1 un;homologado;18.0;18.0;18.0;18.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E17;unidade;homologado;128.06;177.29500000000002;177.29500000000002;226.53;2;2;
E20;unidade;homologado;0.0;740.0;740.0;1480.0;2;1;
E21;unidade;homologado;780.881;780.881;780.881;780.881;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E22;Ind 1 un;homologado;77.0;77.0;77.0;77.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E22;unidade;homologado;665.33;1270.8325;1075.0;2268.0;4;3;
E23;1 Un.;homologado;280.88;280.88;280.88;280.88;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E23;Ind 1 un;homologado;198.0;217.17923076923077;198.0;383.33;13;3;
E23;unidade;homologado;7.18;2582.4891666666667;839.3725;7900.01;6;4;
E24;Embalagem 250 G;homologado;4.5;4.5;4.5;4.5;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E24;unidade;homologado;3.4;6.463333333333334;5.99;10.0;3;3;
P01;1 Un.;homologado;193.05;193.05;193.05;193.05;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;BL;homologado;17.99;17.99;17.99;17.99;5;1;
P01;BLC;homologado;14.0;14.0;14.0;14.0;5;1;
P01;Cx 10 Resmas;homologado;239.0;239.0;239.0;239.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;Ind 1 Resma;homologado;17.0;17.0;17.0;17.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;Ind 1 un;homologado;8.39;8.39;8.39;8.39;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;Pct. 5 Uns.;homologado;3.85;3.85;3.85;3.85;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;unidade;homologado;11.17;19.585;19.585;28.0;2;2;
P02;unidade;homologado;22.0;22.9;22.9;23.8;2;2;
P04;Caixa 24,00 UN;homologado;16.0;16.0;16.0;16.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
